group,edge,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank,mean_original_weight
ALL_SZ,lh_caudalmiddlefrontal -- rh_precuneus,0,150,0.0,0.001737436144561252,212.0,-0.9057140151659647
ALL_SZ,lh_caudalmiddlefrontal -- rh_rostralanteriorcingulate,1,150,0.006666666666666667,0.0021952032181880815,253.35,0.9399513512849808
ALL_SZ,lh_caudalmiddlefrontal -- rh_rostralmiddlefrontal,0,150,0.0,0.002466023353495909,266.11764705882354,-0.9579541928627912
ALL_SZ,lh_caudalmiddlefrontal -- rh_superiorfrontal,3,150,0.02,0.0033270192142786053,192.22222222222223,-0.9668858432107501
ALL_SZ,lh_caudalmiddlefrontal -- rh_superiorparietal,0,150,0.0,0.002452841429362876,252.52631578947367,-0.9547913450943796
ALL_SZ,lh_caudalmiddlefrontal -- rh_superiortemporal,2,150,0.013333333333333334,0.0030867893240803736,201.02631578947367,-0.946292657601206
ALL_SZ,lh_caudalmiddlefrontal -- rh_supramarginal,0,150,0.0,0.0027488018170679827,242.84615384615384,-0.4917785571171687
ALL_SZ,lh_caudalmiddlefrontal -- rh_temporalpole,1,150,0.006666666666666667,0.002016498928479103,207.2,-0.9290202021598816
ALL_SZ,lh_caudalmiddlefrontal -- rh_transversetemporal,0,150,0.0,0.0015104299466875617,219.0,0.8723415732383728
ALL_SZ,lh_cuneus -- lh_entorhinal,1,150,0.006666666666666667,0.002395715056611395,234.47826086956522,-0.9271364134290944
ALL_SZ,lh_cuneus -- lh_frontalpole,3,150,0.02,0.0035549579381805893,142.88888888888889,-0.9191913505395254
ALL_SZ,lh_cuneus -- lh_fusiform,0,150,0.0,0.0014862504678859005,346.0,-0.8831831614176432
ALL_SZ,lh_cuneus -- lh_inferiorparietal,2,150,0.013333333333333334,0.004480317913351672,164.21428571428572,0.9676235318183899
ALL_SZ,lh_cuneus -- lh_inferiortemporal,2,150,0.013333333333333334,0.0031417460612884287,109.5,0.899420827627182
ALL_SZ,lh_cuneus -- lh_isthmuscingulate,0,150,0.0,0.0022422917895315005,244.25,0.8970436751842499
ALL_SZ,lh_cuneus -- lh_lateraloccipital,0,150,0.0,0.001751228139781303,229.0,0.9037835001945496
ALL_SZ,lh_cuneus -- lh_lateralorbitofrontal,3,150,0.02,0.003645355855428807,161.8125,0.1236741952598095
ALL_SZ,lh_cuneus -- lh_lingual,9,150,0.06,0.0041959262679303975,151.54054054054055,0.9638832332314672
ALL_SZ,lh_cuneus -- lh_medialorbitofrontal,4,150,0.02666666666666667,0.005309453438511496,135.45454545454547,0.12262716618451205
ALL_SZ,lh_cuneus -- lh_middletemporal,0,150,0.0,0.003860728112425546,26.0,-0.8439860939979553
ALL_SZ,lh_cuneus -- lh_paracentral,0,150,0.0,0.0015199078202251044,349.0,0.8951793611049652
ALL_SZ,lh_cuneus -- lh_parahippocampal,0,150,0.0,0.002579099570064444,168.7,-0.9454758644104004
ALL_SZ,lh_cuneus -- lh_parsopercularis,1,150,0.006666666666666667,0.0034382628857995653,231.66666666666666,-0.9596130947271982
ALL_SZ,lh_cuneus -- lh_parsorbitalis,2,150,0.013333333333333334,0.0019520605583382864,203.66666666666666,-0.9130054861307144
ALL_SZ,lh_cuneus -- lh_parstriangularis,0,150,0.0,0.0015005859494608932,254.0,0.8574957847595215
ALL_SZ,lh_cuneus -- lh_pericalcarine,5,150,0.03333333333333333,0.004402460276386417,149.8,0.9230513453483582
ALL_SZ,lh_cuneus -- lh_postcentral,0,150,0.0,0.0025701722999342917,273.57142857142856,0.9455903470516205
ALL_SZ,lh_cuneus -- lh_precentral,0,150,0.0,0.0023383723473968327,236.28571428571428,0.9168237021991185
ALL_SZ,lh_cuneus -- lh_precuneus,4,150,0.02666666666666667,0.0038780877022301387,167.80392156862746,0.9553528217708364
ALL_SZ,lh_cuneus -- lh_rostralanteriorcingulate,1,150,0.006666666666666667,0.0035945819179811584,211.6,-0.931266725063324
ALL_SZ,lh_cuneus -- lh_rostralmiddlefrontal,0,150,0.0,0.0015171856343497538,177.0,0.9211291670799256
ALL_SZ,lh_cuneus -- lh_superiorparietal,0,150,0.0,0.0026059128874521705,216.2,0.9071328163146972
ALL_SZ,lh_cuneus -- lh_supramarginal,2,150,0.013333333333333334,0.0053481681132352505,174.16666666666666,0.9337673981984457
ALL_SZ,lh_cuneus -- lh_temporalpole,4,150,0.02666666666666667,0.0028772549829087835,251.0909090909091,-0.9175678545778448
ALL_SZ,lh_cuneus -- rh_caudalmiddlefrontal,0,150,0.0,0.00126575584705359,414.0,-0.9354116916656494
