group,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
TN,lh_lingual,35,279,0.12544802867383512,0.014219841206713995,37.89964157706093
TN,lh_medialorbitofrontal,62,279,0.2222222222222222,0.015450985791422527,32.09318996415771
TN,lh_middletemporal,34,279,0.12186379928315412,0.01379505211032102,37.272401433691755
TN,lh_paracentral,24,279,0.08602150537634409,0.01404086434250383,36.87455197132616
TN,lh_parahippocampal,54,279,0.1935483870967742,0.01584564057033656,32.65232974910394
TN,lh_parsopercularis,69,279,0.24731182795698925,0.01690611245271041,29.602150537634408
TN,lh_parsorbitalis,31,279,0.1111111111111111,0.013997620635990794,35.51971326164875
TN,lh_parstriangularis,46,279,0.16487455197132617,0.014514206921578626,34.505376344086024
TN,lh_pericalcarine,23,279,0.08243727598566308,0.014032134601214961,36.04659498207885
TN,lh_postcentral,23,279,0.08243727598566308,0.013774055385242302,39.13620071684588
TN,lh_posteriorcingulate,32,279,0.11469534050179211,0.014405992447678916,35.028673835125446
TN,lh_precentral,25,279,0.08960573476702509,0.01415290066613809,36.053763440860216
TN,lh_precuneus,31,279,0.1111111111111111,0.014105226633794207,34.69534050179212
TN,lh_rostralanteriorcingulate,62,279,0.2222222222222222,0.015892333323757675,29.56272401433692
TN,lh_rostralmiddlefrontal,20,279,0.07168458781362007,0.013621369949132241,34.4336917562724
TN,lh_superiorfrontal,33,279,0.11827956989247312,0.01406568797020285,35.53763440860215
TN,lh_superiorparietal,28,279,0.1003584229390681,0.014052481811677474,37.45519713261649
TN,lh_superiortemporal,32,279,0.11469534050179211,0.014019907440626502,36.6415770609319
TN,lh_supramarginal,29,279,0.1039426523297491,0.014170211716434894,35.81362007168459
TN,lh_temporalpole,37,279,0.13261648745519714,0.014572177081307043,34.215053763440864
TN,lh_transversetemporal,91,279,0.32616487455197135,0.016945923988895488,26.2831541218638
TN,rh_bankssts,39,279,0.13978494623655913,0.014781566572976504,34.04659498207885
TN,rh_caudalanteriorcingulate,41,279,0.14695340501792115,0.01521163728710208,34.11469534050179
TN,rh_caudalmiddlefrontal,37,279,0.13261648745519714,0.015069487755857987,33.96057347670251
TN,rh_cuneus,47,279,0.16845878136200718,0.014901037902953237,33.086021505376344
TN,rh_entorhinal,41,279,0.14695340501792115,0.015137824157993288,34.516129032258064
TN,rh_frontalpole,40,279,0.14336917562724014,0.014636459439670442,33.67025089605735
TN,rh_fusiform,116,279,0.4157706093189964,0.018218995381205243,24.989247311827956
TN,rh_inferiorparietal,36,279,0.12903225806451613,0.014405748535347644,35.78853046594982
TN,rh_inferiortemporal,37,279,0.13261648745519714,0.014504351365967129,36.82795698924731
TN,rh_insula,41,279,0.14695340501792115,0.014548125410542243,34.57347670250896
TN,rh_isthmuscingulate,28,279,0.1003584229390681,0.014161861047594253,35.053763440860216
TN,rh_lateraloccipital,36,279,0.12903225806451613,0.01439434064033025,36.76702508960574
TN,rh_lateralorbitofrontal,61,279,0.21863799283154123,0.015556157357605863,33.47670250896057
TN,rh_lingual,26,279,0.0931899641577061,0.01379527724351915,37.91756272401434
TN,rh_medialorbitofrontal,52,279,0.1863799283154122,0.015022218556946923,34.376344086021504
TN,rh_middletemporal,36,279,0.12903225806451613,0.014098254788848179,35.623655913978496
TN,rh_paracentral,28,279,0.1003584229390681,0.014115352121445619,38.14336917562724
TN,rh_parahippocampal,38,279,0.13620071684587814,0.014501470421918867,35.516129032258064
TN,rh_parsopercularis,49,279,0.17562724014336917,0.014728739621531544,35.25448028673835
TN,rh_parsorbitalis,36,279,0.12903225806451613,0.014436997158208202,36.630824372759854
TN,rh_parstriangularis,52,279,0.1863799283154122,0.015244542132198858,30.06810035842294
TN,rh_pericalcarine,26,279,0.0931899641577061,0.014058018857184409,36.12544802867384
TN,rh_postcentral,25,279,0.08960573476702509,0.013968165334222293,37.83870967741935
TN,rh_posteriorcingulate,48,279,0.17204301075268819,0.015073869198879151,33.45161290322581
TN,rh_precentral,24,279,0.08602150537634409,0.014014143522072569,37.333333333333336
TN,rh_precuneus,21,279,0.07526881720430108,0.013902132456660945,36.4910394265233
TN,rh_rostralanteriorcingulate,42,279,0.15053763440860216,0.014323362049946,32.551971326164875
TN,rh_rostralmiddlefrontal,33,279,0.11827956989247312,0.013877914275935748,33.46594982078853
TN,rh_superiorfrontal,20,279,0.07168458781362007,0.013629062829308898,36.77777777777778
TN,rh_superiorparietal,23,279,0.08243727598566308,0.0137091793833435,38.15412186379928
TN,rh_superiortemporal,35,279,0.12544802867383512,0.014361125936527339,35.23297491039426
TN,rh_supramarginal,54,279,0.1935483870967742,0.014984697119851068,34.21863799283154
TN,rh_temporalpole,37,279,0.13261648745519714,0.014764641192639205,35.096774193548384
TN,rh_transversetemporal,87,279,0.3118279569892473,0.01751877890086686,26.293906810035843
